id,userId,question,answer,isDark,languageId,createdAt,updatedAt
36,1,Why did the bicycle fall over?,Because it was two tired.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
37,1,How do you organize a space party?,You planet.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
38,1,What do you call an alligator in a vest?,An investigator.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
39,1,Why did the bicycle fall over?,Because it was two tired.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
40,1,How do you organize a space party?,You planet.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
41,1,What do you call an alligator in a vest?,An investigator.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
42,1,Why don't scientists trust atoms?,Because they make up everything.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
43,1,What's orange and sounds like a parrot?,A carrot.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
44,1,Did you hear about the kidnapping at the park?,They woke up.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
45,1,Why don't skeletons fight each other?,They don't have the guts.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
46,1,What's brown and sticky?,A stick.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
47,1,What do you call a fish wearing a crown?,Kingfish.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
48,1,Why don't oysters donate to charity?,Because they are shellfish.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
49,1,Why did the scarecrow win an award?,Because he was outstanding in his field.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
50,1,How do you make holy water?,You boil the hell out of it.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
51,1,Why did the math book look sad?,Because it had too many problems.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
52,1,What do you call cheese that isn't yours?,Nacho cheese.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
53,1,Why don't skeletons fight each other?,They don't have the guts.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
54,1,What do you get when you cross a snowman and a vampire?,Frostbite.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
55,1,What's Forrest Gump's password?,1forrest1.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
56,1,What's the best thing about Switzerland?,"I don't know, but their flag is a big plus.",false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
57,1,Why did the scarecrow become a successful neurosurgeon?,He was outstanding in his field.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
58,1,Why don't skeletons fight each other?,They don't have the stomach for it.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
59,1,What's Forrest Gump's password?,1forrest1.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
60,1,Why did the coffee file a police report?,It got mugged.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
61,1,What do you call fake spaghetti?,An impasta.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
62,1,Why did the tomato turn red?,Because it saw the salad dressing.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
63,1,How does a penguin build its house?,Igloos it together.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
64,1,What did the janitor say when he jumped out of the closet?,Supplies!,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
65,1,Why don't scientists trust atoms anymore?,Because they make up everything and are always changing.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
66,1,What did the grape say when it got stepped on?,"Nothing, it just let out a little wine.",false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
67,1,What's a vampire's favorite fruit?,A blood orange.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
68,1,Why did the math teacher break up with the calculator?,It couldn't count on him.,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00
69,1,How do you catch a squirrel?,Climb a tree and act like a nut!,false,1,2023-12-31 12:00:00,2023-12-31 12:00:00